fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2023-2024,June,31,UTTAR PRADESH,3110,MORADABAD,1409968,183.910515399906,26,132,87.47314,1189,11,17369,1391502,274009,38603,929,130,21.6853,2668.27694,53078,61650,132742,178649,12,174008,270022,18558,2559.1185,399210,24,54.3,15.26,100.71,NA
2023-2024,June,31,UTTAR PRADESH,3114,MUZAFFARNAGAR,281204,187.267727992621,22,25,22.31054,408,53,7781,279713,82747,14992,387,118,9.29887,555.42159,12282,13628,43952,50359,9,74744,116682,8189,523.81218,110488,20,22.6,55.41,104.32,NA
2023-2024,June,31,UTTAR PRADESH,3115,MEERUT,189407,161.083666390366,25,13,5.87866,43,100,6764,189407,81377,14348,434,159,1.39538,312.37778,7370,8030,27596,32549,0,43881,68877,6807,305.10374,74055,13,51.57,3.85,101.83,NA
2023-2024,June,31,UTTAR PRADESH,3120,AGRA,2237895,187.585950158276,32,171,54.04461,1193,5,23099,2231544,634047,56604,10278,844,13.16292,4253.2705456,69361,87101,133205,184732,98,165961,238358,24292,4186.0630156,900251,39,47.78,20.2,100.39,NA
2023-2024,June,31,UTTAR PRADESH,3138,JALAUN,3784257,181.030976619165,37,420,111.02217,3974,2,28697,3783911,1139203,89258,362,11,80.94701,7042.0202177,100909,134529,178759,265414,366,202528,399648,32671,6850.0510377,1458843,41,19.89,44.21,100.16,NA
2023-2024,June,31,UTTAR PRADESH,3139,JHANSI,2022825,180.168057543287,40,210,76.30474,1436,7,27344,2022825,630518,72964,15401,1738,46.31891,3767.10816,50186,68838,131926,208912,597,162220,265615,28780,3644.48451,832362,52,34.6,27.97,100.27,NA
2023-2024,June,31,UTTAR PRADESH,3140,LALITPUR,1969271,198.065990485819,31,146,173.12344,3539,0,31164,1969271,419918,63535,112520,18973,62.04334,4135.6228915,62245,86071,147784,245765,208,177238,319763,34703,3900.4561115,870807,65,23.08,25.62,100.37,NA
2023-2024,June,31,UTTAR PRADESH,3144,PRATAPGARH,2400463,176.087687966863,33,122,55.0254,4790,47,62129,2400463,837776,109740,6004,566,76.29384,4358.2390372,72125,75285,236765,269134,43,311323,391592,66919,4226.9197972,1355769,58,28.36,14.12,103.19,NA
2023-2024,June,31,UTTAR PRADESH,3154,GORAKHPUR,3235915,178.687664115806,34,127,154.60067,4002,25,39138,3235901,1115087,100548,4817,364,116.07595,6052.83253,94017,102054,235912,288664,127,319579,390193,43140,5782.15591,1526765,41,25.45,42.51,99.97,NA
2023-2024,June,31,UTTAR PRADESH,3160,GHAZIPUR,3656784,157.869193185636,27,178,177.6618,2758,12,55021,3651757,844262,112726,35444,3884,64.5664,6007.227513,133504,153618,322800,426672,62,405211,568042,57779,5764.999313,1701569,56,34.57,29.31,99.9,NA
